,title,genre,rating,rating_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
550,The Last Stroke ,Detective Fiction,3.38,24,0.06549999862909317,0.15850000083446503,0.04190000146627426,0.11680000275373459,0.1703999936580658,0.12870000302791595,0.07249999791383743,0.24570000171661377
551,The Ashiel mystery ,Detective Fiction,3.6,110,0.08869999647140503,0.15039999783039093,0.051899999380111694,0.13210000097751617,0.16060000658035278,0.14180000126361847,0.07620000094175339,0.19830000400543213
552,Vol.6,Historical Fiction,4.5,261,0.07919999957084656,0.1282999962568283,0.07079999893903732,0.13989999890327454,0.17440000176429749,0.1582999974489212,0.06780000030994415,0.18150000274181366
553,Vol.5,Historical Fiction,4.52,301,0.10019999742507935,0.12520000338554382,0.07779999822378159,0.14069999754428864,0.16599999368190765,0.13130000233650208,0.06939999759197235,0.18940000236034393
554,Vol.4,Historical Fiction,4.47,343,0.07729999721050262,0.12710000574588776,0.0608999989926815,0.1046999990940094,0.2079000025987625,0.12219999730587006,0.0625,0.23749999701976776
555,Kun ruusu puhkeaa,Movie Books,4.04,1,0.0,0.2467000037431717,0.014499999582767487,0.0,0.48980000615119934,0.15309999883174896,0.009700000286102295,0.08619999885559082
556,Vol.3,Historical Fiction,4.35,588,0.09239999949932098,0.12210000306367874,0.06210000067949295,0.13680000603199005,0.17890000343322754,0.1527000069618225,0.0608999989926815,0.1940000057220459
557,Vol.1,Historical Fiction,3.85,1,0.05719999969005585,0.15940000116825104,0.0471000000834465,0.09440000355243683,0.2508000135421753,0.09860000014305115,0.05860000103712082,0.23389999568462372
558,BY RIGHT OF CONQUEST,Historical Fiction,3.8,392,0.10440000146627426,0.14920000731945038,0.044199999421834946,0.14419999718666077,0.16300000250339508,0.11569999903440475,0.05829999968409538,0.22100000083446503
559,The Brand of Silence,Detective Fiction,3.49,49,0.12049999833106995,0.1387999951839447,0.06750000268220901,0.14090000092983246,0.1273999959230423,0.13289999961853027,0.06369999796152115,0.20839999616146088
560,Jungle Tales of Tarzan,Movie Books,3.71,1,0.13050000369548798,0.11240000277757645,0.07039999961853027,0.21950000524520874,0.12720000743865967,0.12309999763965607,0.06939999759197235,0.14740000665187836
561,Beasts of Tarzan,Movie Books,3.76,1,0.12700000405311584,0.1251000016927719,0.07199999690055847,0.21320000290870667,0.12300000339746475,0.131400004029274,0.06889999657869339,0.13950000703334808
562,Tarzan and the Jewels of Opar,Movie Books,3.83,1,0.12999999523162842,0.12359999865293503,0.07109999656677246,0.21250000596046448,0.12030000239610672,0.13519999384880066,0.06459999829530716,0.14270000159740448
563,The Hour of the Dragon,Science Fiction,4.12,1,0.13269999623298645,0.09459999948740005,0.08349999785423279,0.21400000154972076,0.10419999808073044,0.16840000450611115,0.06750000268220901,0.13500000536441803
564,Son of Tarzan,Movie Books,3.79,1,0.11680000275373459,0.1264999955892563,0.06270000338554382,0.1914999932050705,0.15129999816417694,0.12139999866485596,0.06360000371932983,0.1662999987602234
565,The Circular Staircase,Detective Fiction,3.63,1,0.08299999684095383,0.13809999823570251,0.0544000007212162,0.15549999475479126,0.13850000500679016,0.16200000047683716,0.07850000262260437,0.1899999976158142
566, The Angel of Terror,Detective Fiction,3.5,467,0.09440000355243683,0.13609999418258667,0.06319999694824219,0.14149999618530273,0.17219999432563782,0.131400004029274,0.06960000097751617,0.1914999932050705
567,audio book,Detective Fiction,4.4,1,0.05689999833703041,0.1371999979019165,0.030899999663233757,0.04340000078082085,0.14350000023841858,0.06350000202655792,0.02160000056028366,0.5031999945640564
568,The Daffodil Mystery,Detective Fiction,3.41,530,0.10109999775886536,0.1168999969959259,0.06960000097751617,0.15230000019073486,0.13590000569820404,0.14589999616146088,0.07249999791383743,0.20579999685287476
569,The Ghost Pirates,Science Fiction,3.57,897,0.09510000050067902,0.15049999952316284,0.060499999672174454,0.13330000638961792,0.1193000003695488,0.1348000019788742,0.09109999984502792,0.21539999544620514
570,MARIETTA,Historical Fiction,3.91,1,0.08590000122785568,0.14399999380111694,0.04670000076293945,0.11240000277757645,0.19349999725818634,0.1257999986410141,0.066600002348423,0.22509999573230743
571,Tarzan the Untamed,Movie Books,3.81,1,0.1324000060558319,0.11670000106096268,0.06620000302791595,0.21310000121593475,0.10840000212192535,0.13030000030994415,0.07000000029802322,0.16279999911785126
572,Tarzan of the Apes,Movie Books,3.9,1,0.11249999701976776,0.11460000276565552,0.06319999694824219,0.18369999527931213,0.1428000032901764,0.13099999725818634,0.07599999755620956,0.1762000024318695
573,Tarzan the Terrible,Movie Books,3.8,1,0.11599999666213989,0.11909999698400497,0.06769999861717224,0.18940000236034393,0.13650000095367432,0.12489999830722809,0.061799999326467514,0.18459999561309814
574,The Silver Horde,Movie Books,3.82,11,0.10350000113248825,0.1469999998807907,0.061400000005960464,0.13490000367164612,0.16210000216960907,0.1339000016450882,0.07540000230073929,0.18170000612735748
575,The Winds of Chance,Movie Books,3.83,12,0.10599999874830246,0.1242000013589859,0.06679999828338623,0.1324000060558319,0.1703999936580658,0.1290999948978424,0.07479999959468842,0.19629999995231628
576,Prester John,Movie Books,3.93,983,0.09139999747276306,0.1437000036239624,0.06030000001192093,0.1615000069141388,0.1582999974489212,0.13050000369548798,0.06210000067949295,0.19220000505447388
577,The Spoilers,Movie Books,3.65,349,0.12139999866485596,0.12630000710487366,0.06279999762773514,0.16910000145435333,0.14169999957084656,0.14020000398159027,0.0706000030040741,0.1678999960422516
578,Laughing Bill Hyde and Other Stories,Movie Books,4.25,4,0.08810000121593475,0.14229999482631683,0.06159999966621399,0.11789999902248383,0.18160000443458557,0.12860000133514404,0.06449999660253525,0.21549999713897705
579,Pardners,Movie Books,4.55,247,0.12729999423027039,0.10480000078678131,0.07819999754428864,0.16099999845027924,0.13590000569820404,0.1534000039100647,0.0551999993622303,0.1843000054359436
580,The Net,Movie Books,3.77,1,0.10320000350475311,0.12559999525547028,0.06300000101327896,0.15850000083446503,0.16200000047683716,0.12960000336170197,0.06499999761581421,0.19300000369548798
581,The Iron Trail,Movie Books,3.89,28,0.09560000151395798,0.14790000021457672,0.055799998342990875,0.13539999723434448,0.1665000021457672,0.131400004029274,0.06920000165700912,0.19820000231266022
582,Going Some,Movie Books,4.36,1,0.09070000052452087,0.12860000133514404,0.06440000236034393,0.14069999754428864,0.16930000483989716,0.15770000219345093,0.07410000264644623,0.1745000034570694
583,Heart of the Sunset,Movie Books,3.7,10,0.10779999941587448,0.12849999964237213,0.05959999933838844,0.14100000262260437,0.16349999606609344,0.12070000171661377,0.06830000132322311,0.21050000190734863
584,The Barrier,Movie Books,4.05,1,0.09830000251531601,0.12970000505447388,0.05909999832510948,0.13689999282360077,0.17190000414848328,0.13910000026226044,0.0632999986410141,0.20170000195503235
585,The Holladay Case,Detective Fiction,3.67,52,0.0746999979019165,0.14949999749660492,0.05139999836683273,0.1274999976158142,0.15770000219345093,0.1469999998807907,0.06780000030994415,0.22429999709129333
586,That Affair at Elizabeth,Detective Fiction,3.94,49,0.08240000158548355,0.14390000700950623,0.052400000393390656,0.13950000703334808,0.16609999537467957,0.14560000598430634,0.07959999889135361,0.19050000607967377
587,The Mystery of the Boule Cabinet,Detective Fiction,3.91,148,0.08889999985694885,0.13089999556541443,0.06589999794960022,0.15889999270439148,0.13289999961853027,0.1340000033378601,0.07810000330209732,0.21040000021457672
588,The Shrieking Pit,Detective Fiction,3.46,69,0.10540000349283218,0.12269999831914902,0.07190000265836716,0.15929999947547913,0.11240000277757645,0.13989999890327454,0.06689999997615814,0.22139999270439148
589,The Moon Rock,Detective Fiction,3.33,15,0.08980000019073486,0.1412999927997589,0.06419999897480011,0.14890000224113464,0.13359999656677246,0.14970000088214874,0.07590000331401825,0.19660000503063202
590,The Hand in the Dark,Detective Fiction,3.59,66,0.10729999840259552,0.12240000069141388,0.0723000019788742,0.1624000072479248,0.1242000013589859,0.15080000460147858,0.0763000026345253,0.18440000712871552
591,City of Endless Night,Science Fiction,4.06,1,0.07590000331401825,0.13689999282360077,0.04410000145435333,0.12690000236034393,0.19210000336170197,0.1054999977350235,0.056699998676776886,0.2619999945163727
592,IN THE WARS OF THE ROSES,Historical Fiction,3.22,60,0.08139999955892563,0.14839999377727509,0.04670000076293945,0.13210000097751617,0.20329999923706055,0.11379999667406082,0.057500001043081284,0.21690000593662262
